Symbol	Description
ALNAQ.OB	Allena Pharmaceuticals Inc
ALNPY.OB	All Nippon Airways C ADR
ALPE.OB	Alpha-En Corp
ALPIB.OB	Alpine Banks of Colorado
ALPKF.OB	Alpek Sab DE Cv
ALPMF.OB	Astellas Pharma Inc
ALPMY.OB	Astellas Pharma Inc
ALPSQ.OB	Alpine Summit Energy Partners Inc
ALRHF.OB	Allreal Holding Ag
ALRTF.OB	Alr Technologies Sg Ltd
ALSMY.OB	Alstom S.A.
ALSRF.OB	Alstria Office Ag Hamburg
ALSSF.OB	Alsea S.A.
ALST.OB	Allstar Health Brands Inc
ALTAF.OB	Morella Corp Ltd
ALTHF.OB	Altech Chemicals Ltd
ALTNF.OB	Alternus Energy Group Plc.
ALTPF.OB	Altiplano Metals Inc
ALTX.OB	Altex Industries Inc
ALVLF.OB	Big Ridge Gold Corp
ALVOF.OB	Alvopetro Energy
ALVRQ.OB	Alvarion Ltd
ALXEF.OB	Alx Res Corp
ALXXF.OB	Avante Corp
ALYI.OB	Alternet Systems Inc
AMADF.OB	Amadeus IT Holding S
AMADY.OB	Amadeus IT Hlds S.A. ADR
AMBBF.OB	Ambari Brands Inc
AMBBY.OB	Ambu A/S
AMBFF.OB	Ambu A/S
AMBK.OB	American Bank Inc
AMBS.OB	Amarantus Bioscience Holdings Inc
AMBZ.OB	American Business Bank
AMCCF.OB	Amcor Plc
AMCT.OB	American Education Center Inc
AMDLY.OB	Amada Co. Ltd
AMDWF.OB	Amada Co. Ltd
AMEGF.OB	American Eagle Gold Corp
AMEN.OB	Amen Properties Inc
AMEUF.OB	Anteris Technologies Ltd
AMFC.OB	Amb Financial Corp
AMFL.OB	American Films Inc
AMGDF.OB	Aston Martin Lagonda Global Holdings Plc.
AMGRF.OB	Ama Group Ltd
AMHD.OB	Amelot Holdings Inc
AMHG.OB	Amergent Hospitality Group Inc
AMIGY.OB	Admiral Group Plc
AMIH.OB	American Intl Hlds Corp
AMIN.OB	American International Industries Inc
AMJT.OB	Amj Global Technology
AMKAF.OB	A.P. Moeller-Maersk A/S
AMKBF.OB	A.P. Moeller-Maersk A/S
AMKBY.OB	A.P. Moeller-Maersk A/S ADR
AMLH.OB	American Leisure Holdings Inc
AMLM.OB	American Lithium Minerals Inc
AMMJ.OB	American Cannabis Company Inc
AMMPF.OB	Ammpower Corp
