Symbol	Description
SBNCM.OB	Southern Bancshares [N.C.] Inc
SBNY.OB	Signature Bank
SBNYL.OB	Signature Bank [New York Ny]
SBOEF.OB	Schoeller Bleckmann Oilfield Equipment Ag
SBOX.OB	Superbox Inc
SBSAA.OB	Spanish Broadcasting System Inc
SBSNY.OB	Schibsted ASA
SBUM.OB	Silver Buckle Mines
SBWFF.OB	Strongbow Expl Inc
SBYSF.OB	Sibanye Stillwater Ltd
SCBFF.OB	Standard Chartered Plc
SCBFY.OB	Standard Chartered Plc ADR
SCBGF.OB	Sig Group Ag
SCBZ.OB	Scoobeez Global Inc
SCCAF.OB	Sleep Country Canada Holdings Inc
SCDA.OB	B-Scada Inc
SCETP.OB	Sce Trust Vii
SCETV.OB	
SCEYF.OB	Source Energy Services
SCFFF.OB	Spot Coffee Ltd
SCFLF.OB	Schaeffler Ag
SCFR.OB	Security First Intl
SCGLF.OB	Societe Generale
SCGLY.OB	Societe Generale Spo ADR
SCGPY.OB	Serco Group Plc.
SCGY.OB	Scientific Energy Inc
SCHYF.OB	Sands China
SCHYY.OB	Sands China Ltd ADR
SCIA.OB	Sci Engineered Materials Inc
SCLTF.OB	Searchlight Resources Inc
SCMWY.OB	Swisscom Ag ADR
SCNA.OB	Smart Cannabis Corp
SCND.OB	Scientific Inds Inc
SCNG.OB	SC Holdings Corp
SCNLF.OB	Scancell Holdings Plc.
SCPAF.OB	Shopping Centres Australasia Property Group Unit
SCPCF.OB	Scope Carbon Corp
SCPJ.OB	Scope Industries 10
SCPPF.OB	S4 Capital Plc
SCPS.OB	Scopus Biopharma Inc
SCRH.OB	Scores Holding Inc
SCRYY.OB	Scor ADR
SCSHF.OB	Scottish Oriental Smaller Companies Trust Plc
SCTBY.OB	Securitas A B
SCTC.OB	Scoutcam Inc
SCTH.OB	Securetech Innovations Inc
SCTSF.OB	Scottie Res Corp
SCVFF.OB	Scotch Creek Ventures Inc
SCYRF.OB	Scryb Inc
SCYT.OB	Security Bancorp
SCYYF.OB	Scandium International Mining Corp
SCZC.OB	West Coast Community Bancorp
SDCCQ.OB	Smiledirectclub Inc
SDCH.OB	Sidechannel Inc
SDCVF.OB	Sa Des Ciments Vicat
SDIIF.OB	Scientific Digital Imaging Plc
SDMHF.OB	Sartorius Stedim Biotech
SDPNF.OB	Sime Darby Plantation Berhad
SDRC.OB	Schroders Plc-Non Voting
SDTTU.OB	Sandridge Mississippian Trust I
SDURF.OB	Stroud Resources Ltd
SDVKF.OB	Sandvik Ab
SDVKY.OB	Sandvik Ab ADR
SDXAY.OB	Sodexo ADR
SDXEF.OB	Sdx Energy Plc
SDXOF.OB	Sodexo
SDZNY.OB	Sandoz Group Ag
SDZXF.OB	Sandoz Group Ag
SEAC.OB	Sea Change Intl IN
SEAV.OB	Seatech Ventures Corp
SEBC.OB	Southeastern Banking Corp
SEBYF.OB	Seb S.A.
SEBYY.OB	Seb S.A.
SECCF.OB	Serco Group Plc.
SECTF.OB	SSGA SPDR ETFS Europe II Plc
SECUF.OB	Ssc Security Services Corp
SECYF.OB	Secure Energy Svcs
SEEMF.OB	Seeing Machines Ltd
SEGI.OB	Sycamore Entertainment Group Inc
SEGXF.OB	Segro Plc REIT
SEHCF.OB	Sweet Earth Holdings Corp
SEHKF.OB	Seahawk Gold Corp
SEII.OB	Sharing Economy International Inc
SEKEY.OB	Seiko Epson ADR
SEKZF.OB	Esgold Corp
SEMHF.OB	Siemens Healthineers Ag
SEMUF.OB	Siem Industries Inc
SENR.OB	Strategic Environmental & Energy Resources Inc
SEOAY.OB	Stora Enso Oyj ADR
SEOJF.OB	Stora Enso Oyj
SEOVF.OB	Sernova Corp
SEPGY.OB	Supergroup Plc Cheltenham ADR
SEPJF.OB	Spectris Plc [Uk]
SEPSF.OB	Asep Medical Holdings Inc
SEQL.OB	Seqll Inc
SESMF.OB	Suess Microtec Ag
SEUSF.OB	Sintana Energy Inc
SEVCQ.OB	Sono Group N.V.
SEVT.OB	Summit Environmental Corporation Inc
SEYMF.OB	Solaria Energia Y Medio Ambienete Sa
SEZNL.OB	Sezzle
SFBE.OB	Sino Bioenergy Corp
SFBQF.OB	Softbank Group Corp
SFBTF.OB	Softbank Tech Corp
SFCO.OB	Southern Financial Corp
SFDL.OB	Security Federal Cor
SFFYF.OB	Signify NV
SFIO.OB	Starfleet Innotech Inc
SFLM.OB	Sflmaven Corp
SFNXF.OB	Sofina Sa
SFOSF.OB	Shanghai Fosun Pharmaceutical Group CO Ltd
SFRGF.OB	Salvatore Ferragamo
SFRGY.OB	Salvatore Ferragamo
SFRRF.OB	Sandfire Resources NL
SFRT.OB	Appreciate Holdings Inc
SFRTW.OB	Appreciate Holdings Inc WT
SFRX.OB	Seafarer Exploration Corp
SFSHF.OB	Safestore Hldgs Plc Ord
SFTBF.OB	Softbank Corp Ord
SFTBY.OB	Softbank Corp ADR
SFTGQ.OB	Shift Technologies Inc
SFUNY.OB	Fang Holdings Limited
SFWJ.OB	Software Effective Solutions Corp
SGACF.OB	SSGA SPDR ETFS Europe I Plc
SGAMF.OB	Sega Sammy Holdings Inc
SGAMY.OB	Sega Sammy Hld ADR
SGAPY.OB	Singapore Tele ADR
SGBAF.OB	Ses Sa
SGBG.OB	Signature Bank of Georgia
SGBI.OB	Sangui Biotech Intl Inc
SGBLY.OB	Std Bk Grp Ltd/S ADR
SGCFF.OB	Sagicor Financial Company Ltd
SGCPF.OB	Solstice Gold Corp
SGDH.OB	SGD Holdings Ltd
SGER.OB	Sterling Energy Resources Inc
SGGEF.OB	Sage Group Plc
SGGFF.OB	Barclays Bank Plc
SGGKF.OB	Singapore Technologies Engineering Ltd
SGGKY.OB	Singapore Technologies Engineering Ltd
SGGSF.OB	SSGA SPDR ETFS Europe I Plc
SGGTF.OB	Signature Res Ltd Cda
SGHHF.OB	Sg Hldgs CO Ltd
SGHIF.OB	Shanghai Industrial Holdings Ltd
SGIC.OB	Strategic Rlty TR Inc
SGIOF.OB	Shionogi & Co. Ltd
SGIOY.OB	Shionogi & Ltd Un ADR
SGLDF.OB	Sabre Gold Mines Corp
SGLFF.OB	Sgl Group
SGLMF.OB	Starhill Global Real Estate Investment Trust
SGLOF.OB	Food & Life Cos Ltd
SGMD.OB	Sugarmade Inc
SGNLF.OB	Signal Gold Inc
SGPTF.OB	Sage Potash Corp
SGPYY.OB	Sage Grp Plc ADR
SGSOF.OB	Sgs Ltd Ord Shs
SGSOY.OB	Sgs Sa ADR
SGTB.OB	Suggestion Box
SGTM.OB	Sustainable Green Team Inc
SHALF.OB	Shangri-La Asia Ltd
SHALY.OB	Shangri-La Asia Ltd ADR
SHAOF.OB	Shimamura Corp
SHASF.OB	Shamaran Petroleum Corp
SHCAF.OB	Sharp Corp
SHCAY.OB	Sharp Corp Ltd ADR
SHCMF.OB	Search Minerals Inc
SHECF.OB	Shin-Etsu Chemical C
SHECY.OB	Shin-Etsu Chemical C ADR
SHERF.OB	Sherritt International Corp
SHGDF.OB	Star Diamond Corp
SHGI.OB	Sparx Holdings Group Inc
SHGKY.OB	Sun Hung Kai & Company Ltd
SHIEF.OB	Shield Therapeutics Plc
SHIHF.OB	Shenzhen Invt Hldgs Bay Area Dev CO Ltd
SHKLF.OB	Sinotruk Hong Kong Ltd
SHLAF.OB	Schindler Holding Ag
SHLLF.OB	Shelf Drilling Ltd
SHLRF.OB	Schindler Holding Ag
SHMDF.OB	Shimano Inc
SHMN.OB	Sohm Inc
SHMP.OB	Naturalshrimp
SHMSF.OB	Shimao Services Holdings Ltd
SHMZF.OB	Shimadzu Corp
SHNWF.OB	Schroders Plc.
SHOM.OB	Southern Home Medical Inc
SHPMF.OB	Shanghai Pharms Hl H Ord
SHPMY.OB	Shanghai Pharmaceuticals Holding Ltd ADR
SHPNF.OB	Shoal Point Energy Ltd
SHPPF.OB	Redcare Pharmacy NV
SHRG.OB	Sharing Services Global Corp
SHTDF.OB	Sinopharm Group Co. Ltd
SHTDY.OB	Sinopharm Group
SHTLF.OB	South32 Ltd
SHUNF.OB	Shunfeng Intl Clean Energy Ltd
SHVLF.OB	Starcore International Mines Ltd
SHVTF.OB	Select Harvests Ltd
SHWDF.OB	Showa Denko Kk
SHWDY.OB	Resonac Holdings Corp
SHWGF.OB	Shandong Weigao Group Medical Polymer Co. Ltd
SHWGY.OB	Shandong Weigao Group Medical Polymer Co. Ltd
SHWZ.OB	Medicine Man Technologies Inc
SHZHY.OB	Shenzhou International Group Holdings Ltd ADR
SICNF.OB	Sokoman Minerals Corp
SICP.OB	Silvergate Capital Corp
SICPL.OB	Silvergate Capital Corp
SIEGY.OB	Siemens Ag ADR
SIELF.OB	Shanghai Electric Group Co. Ltd
SIETY.OB	D Ieteren Group ADR
SIGCY.OB	Sig Group Ag
SIGGF.OB	Sigma Healthcare Ltd
SIGL.OB	Signal Advance Inc
SIGO.OB	Sunset Island Group Inc
SIGY.OB	Sigyn Therapeutics Inc
SIHBY.OB	Shenzhen Investment Hlds Bay Area Dev. ADR
SILEF.OB	Silver Elephant Mng Corp
SILS.OB	Silver Scott Mines Inc
SILXF.OB	Silex Systems Ltd
SILXY.OB	Silex Systems Ltd
SIMEF.OB	Sime Darby Property Berhad
SIMPQ.OB	Simply Inc
SINC.OB	Sincerity Applied Materials Holdings Corp
SING.OB	Singlepoint Inc
SINGF.OB	Singapore Airlines Ltd
SINGY.OB	Singapore Airlines L
SIOLF.OB	Sino-Ocean Group Holdings Ltd
SIOLY.OB	Sino-Ocean Group Holdings Ltd
SIOPF.OB	Shimao Group Holdings Ltd
SIOX.OB	Sio Gene Therapies Inc
SIPC.OB	Sipp Industries Inc
SIPN.OB	Sipp International Industries Inc
SIRC.OB	Solar Integrated Roofing Corp
SIREF.OB	Sirios Resources Corp
SIRZF.OB	Sir Rty Income Fund
SISXF.OB	Savaria Corp
SITIF.OB	Sitc International Holdings Company Ltd
SITIY.OB	Sitc International Holdings Ltd ADR
SITKF.OB	Sitka Gold Corp
SITS.OB	Southern Its International Inc
SIUAF.OB	Stabilus Se
SIVBQ.OB	Svb Financial Group
SIVPQ.OB	Svb Financial Group
SIXWF.OB	Sixth Wave Innovations Inc
SJMHF.OB	Sjm Holdings Ltd
SJMHY.OB	Sjm Holdings Ltd
SJOYW.OB	Scienjoy Holding Corp WT
SJRNF.OB	Arcwest Expl Inc
SKAS.OB	Saker Aviation Svcs Inc
SKBSY.OB	Skanska Ab
SKFG.OB	Stark Focus Group Inc
SKFOF.OB	Sika Finanz
SKFRY.OB	Skf Ab ADR
SKHCF.OB	Sonic Healthcare Ltd
SKHHY.OB	Sonic Healthcare Ltd ADR
SKHRF.OB	Stakeholder Gold Corp
SKHSF.OB	Sekisui House Ltd [Japan]
SKHSY.OB	Sekisui House Spn Ad ADR
SKILW.OB	Skillsoft Corp WT
SKKRF.OB	Skrr Expl Inc
SKKY.OB	Skkynet Cloud Systems Inc
SKLTY.OB	Seek Ltd
SKPGF.OB	Spark Power Group Inc
SKPO.OB	Skye Petroleum Inc
SKSBF.OB	Skanska A B Ser B Fr
SKTO.OB	Sk3 Group Inc
SKTPP.OB	Skytop Lodge Corp
SKVI.OB	Skinvisible Inc
SKVY.OB	Sentry Technology Corp
SKXJF.OB	Sankyo Company Ltd
SKYE.OB	Skye Bioscience Inc
SKYI.OB	Sky Century Investment Inc
SLAAF.OB	Sitios Latinoamerica S A B DE C V
SLBK.OB	Skyline Bankshares Inc
SLCH.OB	Spotlight Capital Holdings Inc
SLCJY.OB	Slc Agricola S.A. ADR
SLCO.OB	Sovereign Lithium Inc
SLDC.OB	Solidus Communications Inc
SLDX.OB	Stella Diagnostics Inc
SLFPF.OB	Abrdn Plc
SLFPY.OB	Aberdeen Plc ADR
SLGD.OB	Scott's Liquid Gold Inc
SLGGF.OB	Solgold Plc
SLGWF.OB	Slang Worldwide Inc
SLHGF.OB	Skylight Health Group Inc
SLHPF.OB	Skylight Health Group Inc 9.25%
SLLDY.OB	Sanlam Ltd
SLMAF.OB	Sanlam Ltd
SLMFF.OB	Solis Minerals Ltd
SLMNP.OB	Schulman A Inc
SLMXF.OB	Slam Exploration Ltd
SLMZF.OB	Damara Gold Corp
SLNFF.OB	Solution Financial Inc
SLOIY.OB	Soitec Bernin
SLRK.OB	Solera National Bancorp Inc
SLRRF.OB	Silver Range Res Ltd
SLSDF.OB	Select Sands Corp
SLSSF.OB	Solaris Res Inc
SLTFF.OB	Pegasus Resources Inc
SLTN.OB	Silverton Energy Inc
SLTTF.OB	Slate Office REIT TR Unit
SLVDF.OB	Silver Dollar Resources Inc
SLVFF.OB	Silverlake Axis Ltd
SLVMF.OB	Silver Mines Ltd
SLVRF.OB	Silver One Resources Inc
SLVTF.OB	Silver Tiger Metals Inc
SLVYY.OB	Solvay S.A.
SLXXF.OB	Fintech Select Ltd
SLZNF.OB	Slave Lake Zinc Corp
SMAGF.OB	Soma Gold Corp
SMAL.OB	Summit Bancshares Inc
SMAWF.OB	Siemens Ag
SMAYF.OB	Simec Atlantis Energy Ltd
SMBMF.OB	Seatrium Limited
SMBMY.OB	Seatrium Limited
SMCAY.OB	Smc Corp ADR
SMCE.OB	Smc Entertainment Inc
SMDRF.OB	Sierra Madre Gold and Silver Ltd
SMDZF.OB	Strategic Metals Ltd
SMECF.OB	Smc Cp
SMEGF.OB	Siemens Energy Ag
SMEV.OB	Simulated Environmen
SMFKY.OB	Smurfit Kappa
SMFNF.OB	Sumitomo Mitsui Financial Group Inc
SMFRF.OB	Sumitomo Forestry Co. Ltd
SMFTF.OB	Smurfit Kappa Plc.
SMFX.OB	S A M Trade Asia Pte Ltd
SMGBF.OB	San Miguel Corp
SMGI.OB	Smg Industries Inc
SMGZY.OB	Smiths Group Plc ADR
SMIT.OB	Schmitt Industries Inc
SMIZF.OB	Melia Hotels International Sa
SMME.OB	Smartmetric Inc
SMMNY.OB	Siemens Healthineers Ag ADR
SMMR.OB	Symmetry Technologies Inc
SMMYY.OB	Sumitomo Metal Mining Ltd
SMNEY.OB	Siemens Energy Ag
SMNNY.OB	Shimano Inc
SMNUF.OB	Pt Sarana Menara Nusantara Tbk
SMOFF.OB	Sonoro Metals Corp
SMOPF.OB	Smartoptics Group As
SMPNY.OB	Sompo Japan Nipponkoa Holdings Inc ADR
SMREF.OB	Sun Summit Minerals Corp
SMRVF.OB	Smooth Rock Ventures Corp
SMSEY.OB	Samsonite
SMSMY.OB	Sims Ltd
SMSOF.OB	Samsonite International Sa
SMSSY.OB	Sms Co. Ltd
SMSZF.OB	Sms Co. Ltd
SMTEF.OB	Smart Eye
SMTGF.OB	Sma Solar Technology Ag [Niestetal]
SMTGY.OB	Sma Solar Technology Ag
SMTK.OB	Smartkem Inc
SMTLF.OB	Gcl New Energy Holdings Ltd
SMTOY.OB	Sumitomo Electric IN
SMTSF.OB	Sierra Metals Inc
SMTUF.OB	Sumitomo Rubber Industries Ltd
SMUPF.OB	Sims Ltd
SMURF.OB	Tokens.com Corp
SMWCF.OB	SSGA SPDR ETFS Europe II Plc
SMWFF.OB	SSGA SPDR ETFS Europe II Plc
SNANF.OB	Sona Nanotech Inc
SNAVF.OB	Star Navigation Systems Group Ltd
SNBH.OB	Sentient Brands Holdings Inc
SNCAF.OB	Snc Lavalin Group IN
SNDZ.OB	Sunridge International
SNEJF.OB	Sony Group Corp
SNFRF.OB	Sinofert Holdings Ltd
SNGCF.OB	Sanu Gold Corp
SNGNF.OB	Singapore Telecommunications Ltd
SNGSF.OB	Singamas Container Holdings Ltd
SNIPF.OB	Snipp Interactive IN
SNLAF.OB	Sino Land Co. Ltd
SNLAY.OB	Sino Land Ltd Spo ADR
SNLC.OB	Security Natl [Iowa]
SNLGF.OB	San Lorenzo Gold Corp
SNMCY.OB	Suncorp Group ADR
SNMN.OB	Snm Global Holdings
SNMRY.OB	Snam Rete Gas ADR
SNMSF.OB	Spin Master Corp
SNNAF.OB	Sienna Resources Inc
SNNC.OB	Sibannac Inc
SNNF.OB	Seneca Financial Corp
SNNGF.OB	Sienna Gold Inc
SNNSF.OB	Sensen Networks Limited
SNNUF.OB	Smith & Nephew Plc
SNOTF.OB	Sinotrans Ltd
SNPHF.OB	Santen Pharmaceutical Co. Ltd
SNPHY.OB	Santen Pharmaceutical ADR
SNPMF.OB	China Petroleum & Chemical Corp
SNPTF.OB	Sunny Optical Technology [Group] CO Ltd
SNPW.OB	Sun Pacific Holding Corp
SNRG.OB	Susglobal Energy Corp
SNROF.OB	Sanrio Co. Ltd
SNRY.OB	Solar Energy Initiatives Inc
SNST.OB	Sunset Capital Assets Inc
SNTAF.OB	Strategic Minerals Europe Corp
SNTE.OB	Sante Technology Holdings Inc
SNTMF.OB	Sensetime Group Inc
SNTW.OB	Summit Networks Inc
SNTX.OB	Suntex Enterprises Inc
SNUYF.OB	Serinus Energy Plc
SNVFF.OB	Sonoro Energy Ltd
SNVIF.OB	Sonovia Share [Israel]
SNVVF.OB	Step Energy Services
SNWGF.OB	Snowline Gold Corp
SNWR.OB	Sanwire Corp
SNWV.OB	Sanuwave Health Inc
SNYNF.OB	Sanofi-Aventis S.A.
SNYYF.OB	Sany Heavy Equipment International Holdings Co.
SNZZF.OB	Senzime Ab
SOAGY.OB	Sartorius Ag
SOBKY.OB	Softbank Corp ADR
SOBS.OB	Solvay Bank [Ny]
SOCGM.OB	Southern California Gas Co.
SOCGP.OB	Southern California Gas Co.
SODE.OB	Social Detention Inc
SODI.OB	Solitron Devices Inc
SOEN.OB	Solar Enertech Corp
SOFO.OB	Sonic Foundry Inc
SOHI.OB	Sortis Holdings Inc
SOHOF.OB	Soho China Ltd
SOHVY.OB	Sumitomo Heavy Industries Co.
SOIEF.OB	Stolt-Nielsen Ltd
SOIS.OB	Striker Oil & Gas Inc
SOLBF.OB	Solvbl Solutions Inc
SOLCF.OB	Sol Global Invts Corp
SOLTF.OB	Sosei Co. Ltd
SOMC.OB	Southern Michigan Bancorp Inc
SOME.OB	Somerset Trust Holdi
SOMLF.OB	Secom Ltd
SOMLY.OB	Secom Ltd ADR
SOMMF.OB	Sumitomo Chemical Co. Ltd
SOMMY.OB	Sumitomo Chemical
SONG.OB	Music Licensing Inc
SONVF.OB	Sonova Holding Ag
SONVY.OB	Sonova Holding Ag
SONX.OB	Sonendo Inc
SOTGY.OB	Sunny Optical Technology Group Ltd
SOUB.OB	Southpoint Bancshares Inc
SOUHY.OB	South32 Ltd
SOUTF.OB	Southern Energy Corp
SOWG.OB	Sow Good Inc
SPAGF.OB	Ishares V Plc
SPAZF.OB	Spanish Mountain Gold Ltd
SPBGF.OB	SSGA SPDR ETFS Europe I Plc
SPCNF.OB	Spc Nickel Corp
SPCO.OB	Stephan Co.
SPEV.OB	Shorepower Technologies Inc
SPEYF.OB	Spey Resources Corp
SPFX.OB	Standard Premium Finance Holdings Inc
SPFYF.OB	Spacefy Inc
SPGX.OB	Sustainable Projects Group Inc
SPGYF.OB	Whitecap Resources Inc.
SPHDF.OB	Santhera Pharmaceuticals Holdings Ltd
SPHRY.OB	Starpharma Holdings Ltd
SPKKY.OB	Spark New Zealand Ltd ADR
SPKTF.OB	Spectra Prods Inc
SPLTF.OB	Spotlite360 Iot Solutions Inc
SPLY.OB	Socialplay USA Inc
SPMTF.OB	Spearmint Resources Inc
SPMYY.OB	Spirent Comm Plc ADR
SPND.OB	Spindletop Oil & Gas Co.
SPNNF.OB	Spenn Technology A/S
SPNRF.OB	Sparton Resources IN
SPNUF.OB	Spirent Communications Plc
SPODF.OB	Spod Lithium Corp
SPOFF.OB	Earthlabs Inc
SPOI.OB	Spo Networks Inc
SPOM.OB	Spo Global Inc
SPONF.OB	Sponsorsone Inc
SPOWF.OB	Strata Pwr Corp
SPPJY.OB	Sappi Ltd ADR
SPQS.OB	Sportsquest Inc
SPRN.OB	Supernova Energy Inc
SPRS.OB	Surge Components Inc
SPRV.OB	Supurva Healthcare Group Inc
SPSAF.OB	Sopra Sa
SPSO.OB	Spectacular Solar Inc
SPSTF.OB	Singapore Post Ltd
SPSTY.OB	Singapore Post Ltd
SPTJF.OB	Sinopec Shanghai Petrochemical Co. Ltd
SPTY.OB	Specificity Inc
SPVNF.OB	Spectra7 Microsystems Inc
SPXCF.OB	Singapore Exchange Ltd
SPXCY.OB	Singapore Exchange L
SPXSF.OB	Spirax Sarco Engineering Plc
SPXSY.OB	Spirax Sarco Engineering Plc
SPYR.OB	Spyr Inc
SPZI.OB	Spooz Inc
SQCF.OB	Susquehanna Community Financial Inc
SQLLW.OB	Seqll Inc WT
SQNNY.OB	Square Enix Holdings Ltd ADR Repstg Com Stk
SQNXF.OB	Square Enix Ltd
SQZB.OB	Sqz Biotechnologies Company
SQZZF.OB	Serica Energy Plc
SRAFF.OB	Sandfire Resources America Inc
SRAX.OB	Srax Inc
SRBCF.OB	Sirona Biochem Corp
SRBEF.OB	Ses Imagotag
SRBT.OB	Shanrong Biotechnology Corp
SRCAF.OB	Stria Lithium Inc
SRCGF.OB	Spruce Ridge Resource Ltd
SRCH.OB	Searchlight Minerals Corp
SRCO.OB	Sparta Commercial Services Inc
SRCRD.OB	Scorpio Gold Corp NE
SRCRF.OB	Scorpio Gold Corp NE
SRCU.OB	Spire Inc
SREDF.OB	Storebrand ASA
SREMF.OB	Sunrise Energy Metals Ltd
SRGHY.OB	Shoprite Holdings Ltd ADR
SRGMF.OB	Srg Mng Inc
SRGXF.OB	Surge Copper Corp
SRGZ.OB	Star Gold Corp
SRHBF.OB	Starhub Ltd
SRHYY.OB	Syrah Resources Ltd
SRKE.OB	Strake Inc
SRKZF.OB	Sky Gold Corp
SRLZF.OB	Salazar Resources Ltd
SRMX.OB	Saddle Ranch Media Inc
SRNEQ.OB	Sorrento Therapeutics Inc
SRNN.OB	Southern Banc Inc
SRNW.OB	Stratos Renewables Corp
SROYF.OB	Sailfish Royalty Corp
SRRE.OB	Sunrise Rl Est Group Inc
SRRRF.OB	Source Rock Royalties Ltd
SRRTF.OB	Slate Retail REIT
SRSCQ.OB	Sears Canada Inc
SRSG.OB	Spirits Time International Inc
SRSLF.OB	Sorrento Resources Ltd
SRTOY.OB	Sartorius Stedim Biotech
SRTSF.OB	Sarantis Sa
SRTTY.OB	Zozo Inc
SRUUF.OB	Sprott Physical Uranium TR
SRXIF.OB	Ishares IV Plc
SRXXF.OB	Sparx Asset Management Co. Ltd
SSAAY.OB	Ssab Swedish Steel Ab
SSBP.OB	Ssb Bancorp Inc
SSCDF.OB	SSGA SPDR ETFS Europe II Plc
SSDOF.OB	Shiseido Ltd Ord
SSDOY.OB	Shiseido Ltd ADR
SSDRF.OB	SSGA SPDR ETFS Europe I Plc Spd
SSEBF.OB	Silver Spruce Res
SSEEF.OB	SSGA SPDR ETFS Europe I Plc
SSEHF.OB	SSGA SPDR ETFS Europe II Plc
SSET.OB	Starstream Entertainment Inc
SSEUF.OB	SSGA SPDR ETFS Europe II Plc
SSEXF.OB	SSGA SPDR ETFS Europe II Plc
SSEZF.OB	Sse Plc
SSEZY.OB	Scottish & South ADR
SSGAF.OB	SSGA SPDR ETFS Europe I Plc
SSGBF.OB	SSGA SPDR ETFS Europe I Plc
SSGEF.OB	SSGA SPDR ETFS Europe II Plc
SSGFF.OB	SSGA SPDR ETFS Europe II Plc
SSGMF.OB	SSGA SPDR ETFS Europe II Plc
SSGUF.OB	SSGA SPDR ETFS Europe II Plc
SSGWF.OB	SSGA SPDR ETFS Europe II Plc
SSGXF.OB	SSGA SPDR ETFS Europe II Plc S&P US Industrials
SSHLY.OB	Sunac Svcs Hldgs Ltd
SSHPF.OB	Vow ASA
SSHT.OB	Ssht S&T Group Ltd
SSII.OB	Ss Innovations Intl Inc
SSILF.OB	Sa Sa International Holdings Ltd
SSLLF.OB	Siltronic Ag
SSLZY.OB	Santos Ltd ADR
SSMXF.OB	Sysmex Corp
SSMXY.OB	Sysmex Corp ADR
SSOF.OB	Sixty Six Oilfield Services Inc
SSOK.OB	Sunstock Inc
SSPLF.OB	Safe Supply Streaming CO Ltd
SSPPF.OB	Ssp Group Plc
SSRC.OB	Sentisearch Inc
SSREF.OB	Swiss Re
SSREY.OB	Swiss Re Ltd ADR
SSRSF.OB	Silver Sands Resources Corp
SSSEF.OB	SSGA SPDR ETFS Europe II Plc
SSSPF.OB	SPDR S&P 500 Uci
SSTRF.OB	Silverstar Holdings Ltd
SSUMF.OB	Sumitomo Corp
SSUMY.OB	Sumitomo Corp ADR
SSUNF.OB	Signa Sports United N.V.
SSUTF.OB	Signa Sports United N.V. WT
SSVFF.OB	Southern Silver Exploration Corp
SSVRF.OB	Summa Silver Corp
SSYRF.OB	Sassy Gold Corp
STAB.OB	Statera Biopharma Inc
STAL.OB	Star Alliance International Corp
STBFF.OB	Suntory Beverage & Food Ltd
STBFY.OB	Suntory Beverage ADR
STBGY.OB	Scandinavian Tob Group As
STBI.OB	Sturgis Bancorp Inc
STBK.OB	Studio Finl Hldgs Inc
STBMF.OB	St. Barbara Ltd
STBV.OB	Strategic Global Investments Inc
STCB.OB	Starco Brands Inc
STCGF.OB	Stack Cap Group Inc
STCXF.OB	Sparx Technology Inc
STEEF.OB	Steer Technologies Inc
STEK.OB	Stemtech Corp
STEV.OB	Stevia Corp
STGAF.OB	Afentra Plc
STGDF.OB	Copper Rd Res Inc
STGPF.OB	Scentre Group
STGYF.OB	Stingray Group Inc
STGZ.OB	Stargaze Entertainment Group Inc
STHC.OB	Southcorp Capital Inc
STHFF.OB	Stelmine Cda Ltd
STHI.OB	Sprout Tiny Homes Inc
STHRF.OB	Strathcona Res Ltd
STHZF.OB	Statehouse Hldgs Inc
STJO.OB	ST Joseph Inc
STJPF.OB	ST James Place Cap
STKAF.OB	Stockland Stapled Sec
STKXF.OB	Strikepoint Gold Inc
STLB.OB	Sterling Business Solutions Inc
STLFF.OB	Stillfront Group Ab
STLJF.OB	Stella Jones Inc
STLNF.OB	Stallion Uranium Corp
STLXF.OB	Stellar Africagold Inc
STLY.OB	Hg Holdings Inc
STMEF.OB	Stmicroelectronics N
STMGF.OB	Stamper Oil & Gas Corp
STMH.OB	Stem Holdings Inc
STMNF.OB	Sumitomo Metal Mining Ltd
STMRF.OB	Stanmore Res Ltd
STMZF.OB	Scottish Mortgage Investment Trust Plc
STNRF.OB	Stinger Res Inc
STOCF.OB	Stock Trend Capital Inc
STOHF.OB	Statoil ASA
STOSF.OB	Santos Ltd Ord
STPGF.OB	Steppe Gold Limited
STRFF.OB	Star Royalties Ltd
STRG.OB	Starguide Group Inc
STRH.OB	Star8 Corp
STRNY.OB	Severn Trent Plc ADR
STRPF.OB	Starr Peak Mining Ltd
STRRF.OB	Canadian Gold Corp
STSBF.OB	South Star Battery Metals Corp
STSFF.OB	Smartstop Self Storage REIT Inc
STSN.OB	Sternsation International Inc
STTDF.OB	Standard Uranium Ltd
STTO.OB	Sito Mobile Ltd
STTTF.OB	Splitit Ltd
STTX.OB	Stratex Oil & Gas Holdings Inc
STWRY.OB	Software Ag ADR
STXMF.OB	Starrex International Ltd
STXPF.OB	Stuhini Expl Ltd
STXYF.OB	Satixfy Communications Ltd WT
STZHF.OB	Stelco Holdings Inc
SUBCY.OB	Subsea 7 S.A. ADR
SUFF.OB	Ophir Resources Co.
SUHJF.OB	Sun Hung Kai Pptys L
SUHJY.OB	Sun Hung Kai Pptys L ADR
SUIC.OB	Suic Worldwide Hldgs Ltd
SULMF.OB	Sulliden Mng Cap
SULWQ.OB	Sunlight Financial Holdings Inc WT
SUME.OB	Summer Energy Hlds
SUMXF.OB	Supremex Inc
SUNC.OB	Suncast Solar Energy Inc
SUND.OB	Sundance Strategies Inc
SUNFF.OB	Sun Life Financial Inc
SUNLQ.OB	Sunlight Financial Hldgs Inc
SUNPF.OB	Sun Peak Metals Corp
